license	modified	collectionID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	occurrenceID	catalogNumber	recordNumber	recordedBy	occurrenceStatus	preparations	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	eventDate	startDayOfYear	year	month	day	verbatimEventDate	fieldNotes	higherGeography	countryCode	stateProvince	locality	verbatimElevation	decimalLatitude	decimalLongitude	verbatimCoordinateSystem	scientificName	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	nomenclaturalCode
CC_BY_NC_4_0	2014-03-28T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00366578	E00366578		Manakyan, V.	PRESENT	herbarium specimen of unspecified type			BGBASE:380582		1966-07-08T00:00:00	189	1966	7	8	1966-07-08		West Asia and Egypt	AM	Syunik'	Zangezur, Sisyan region, Aravus				degrees minutes seconds	Vicia cracca L.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	cracca		SPECIES	ICBN
CC_BY_NC_4_0	2014-03-05T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00366588	E00366588		Nazarova, E. Maiukian, P., Sardarian, A. & Nikitsliko, O.	PRESENT	herbarium specimen of unspecified type			BGBASE:380592		1974-06-11T00:00:00	162	1974	6	11	1974-06-11		West Asia and Egypt	AM		Nairi region, Araioch				degrees minutes seconds	Vicia cracca L.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	cracca		SPECIES	ICBN
CC_BY_NC_4_0	2014-04-29T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00366620	E00366620		Kazarian, E.	PRESENT	herbarium specimen of unspecified type			BGBASE:380625		1935-08-22T00:00:00	234	1935	8	22	1935-08-22		West Asia and Egypt	AM		Komeickln [?}				degrees minutes seconds	Vicia cracca L.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	cracca		SPECIES	ICBN
CC_BY_NC_4_0	2014-01-16T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00366655	E00366655		Szowitz	PRESENT	herbarium specimen of unspecified type			BGBASE:380660									West Asia and Egypt	AM		Armeniensis				degrees minutes seconds	Vicia cracca L.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	cracca		SPECIES	ICBN
CC_BY_NC_4_0	2014-06-09T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00366834	E00366834		Grossheim, A.A.	PRESENT	herbarium specimen of unspecified type			BGBASE:380995		1928-07-09T00:00:00	191	1928	7	9	1928-07-09		West Asia and Egypt	AM		Noco-Bajazet, iter Ejlar et Suchoj-Fontan	4000-5000 U			degrees minutes seconds	Vicia villosa Roth	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	villosa		SPECIES	ICBN
CC_BY_NC_4_0	2012-10-22T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00366680	E00366680	6674	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:380683		1989-06-11T00:00:00	162	1989	6	11	1989-06-11		West Asia and Egypt	GE		Nearest settlement: Nakra. 4km from Nakra on Mestia road	980 M	43.05	42.383333	degrees minutes seconds	Vicia cracca subsp. gerardii (W.D.J.Koch) Briq.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	cracca	gerardii	SUBSPECIES	ICBN
CC_BY_NC_4_0	2012-10-22T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00364724	E00364724	6917	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:376902		1989-06-24T00:00:00	175	1989	6	24	1989-06-24		West Asia and Egypt	AM		Nearest settlement: Getick. About .5km from river on road to monastery	1460 M	40.65	45.283333	degrees minutes seconds	Vicia truncatula Fisch. ex M.Bieb.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	truncatula		SPECIES	ICBN
CC_BY_NC_4_0	2014-03-05T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00366187	E00366187		Mulkidjanian, Y. & Aslanin, S.	PRESENT	herbarium specimen of unspecified type			BGBASE:379843		1958-07-07T00:00:00	188	1958	7	7	1958-07-07		West Asia and Egypt	AM	Syunik'	Meghri region, Gudetis	1500-1700 M			degrees minutes seconds	Vicia peregrina L.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	peregrina		SPECIES	ICBN
CC_BY_NC_4_0	2012-09-14T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00364769	E00364769	6856	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:376964		1989-06-21T00:00:00	172	1989	6	21	1989-06-21		West Asia and Egypt	AM	Syunik'	Artsvanick, northern edge of village	1115 M	39.25	46.466667	degrees minutes seconds	Vicia pannonica var. pannonica	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	pannonica	pannonica	VARIETY	ICBN
CC_BY_NC_4_0	2012-09-13T00:00:00Z	http://biocol.org/urn:lsid:biocol.org:col:15670	E	E	Royal Botanic Garden Edinburgh Herbarium	E	http://data.rbge.org.uk/herb/E00364711	E00364711	6995	"Maxted; Bisby; Forde; Golubev; Munyenyembe & Yurchikov"	PRESENT	herbarium specimen of unspecified type			BGBASE:376887		1989-06-26T00:00:00	177	1989	6	26	1989-06-26		West Asia and Egypt	AM	Kotayk'	Tsakhadzor, top of valley near padernoster lift to hill summit	1840 M	40.533333	44.7	degrees minutes seconds	Vicia truncatula Fisch. ex M.Bieb.	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vicia	truncatula		SPECIES	ICBN
